p256_falcon512 - p256_mlkem512;p256_falcon512 - x25519_mlkem512;p256_falcon512 - mlkem512;p256_sphincssha2128fsimple - p256_mlkem512;p256_sphincssha2128fsimple - mlkem512;p256_sphincssha2128fsimple - x25519_mlkem512;p256_sphincssha2128ssimple - p256_mlkem512;p256_sphincssha2128ssimple - x25519_mlkem512;p256_sphincssha2128ssimple - mlkem512;p256_mayo1 - p256_mlkem512;p256_mayo1 - x25519_mlkem512;p256_mayo1 - mlkem512
1790;4463;5047;532;409;634;42;42;43;2121;5235;5159
1626;3823;5356;343;648;642;43;44;33;2030;4785;6018
1871;4642;3826;517;655;435;29;35;44;2151;3378;6228
1852;4675;5122;511;451;629;44;42;44;2262;5057;5967
2085;4365;5394;494;638;664;43;44;41;2228;4973;5761
1160;4274;5237;524;647;442;37;43;41;2207;4759;6358
2023;4390;5093;517;604;618;43;43;43;2270;4956;6525
1992;4567;5351;498;665;636;43;44;44;2183;5014;4278
1143;3174;5146;484;659;599;41;41;29;2221;4642;6449
2098;4433;5069;525;618;639;43;43;45;2292;4512;6411
1956;4400;5396;537;627;657;42;44;44;2152;4772;4406
1136;3160;5055;360;670;594;40;40;29;2269;4956;6377
2066;4459;5413;520;667;591;40;40;44;2074;3415;6500
1979;4518;5372;555;452;649;42;44;44;2092;4835;4410
1386;3035;5035;364;661;633;43;43;30;2094;5021;6513
2036;4403;4924;508;673;420;41;30;44;2252;3316;6507
2037;4703;5400;549;451;648;42;44;44;2088;4862;5080
1806;3516;5424;357;656;650;43;43;34;1430;4814;6227
1901;4259;3611;529;673;425;42;29;44;2273;3288;6517
2177;4641;5459;526;452;641;42;43;44;2050;5148;6280
1824;4203;5275;435;674;647;42;44;41;1540;4828;6434
1718;4407;3655;521;664;429;43;29;44;2271;3978;6502
2025;4398;5460;546;500;621;42;44;44;2211;4821;6105
2156;4209;5404;499;661;634;42;43;41;1532;4816;5904
1162;4056;3659;534;663;486;43;34;44;2164;4826;6540
1943;4626;5398;527;634;630;43;43;45;2110;5158;6554
2094;4514;5334;500;668;634;40;43;40;1659;4955;4338
1396;2991;4173;485;664;612;40;41;41;1995;4767;6548
2001;4416;5377;531;604;627;42;42;44;2021;4551;6525
1865;4392;5394;550;603;642;41;43;44;1943;4997;4307
1280;2970;4925;353;669;594;30;40;41;2027;4781;6493
1950;4406;5180;529;667;602;40;44;45;1981;3293;6478
2170;4487;5154;520;449;650;43;43;42;1874;4795;4273
1654;3091;4990;355;662;648;29;41;43;1892;4812;6533
1828;4370;4897;518;673;430;42;40;44;2191;3215;6468
2018;4384;5271;540;448;657;43;43;42;2195;4895;5010
1925;3575;5258;354;659;639;29;44;43;1522;5076;6326
1983;4419;3510;535;663;438;41;41;44;2040;3535;6538
2028;4399;5170;546;444;624;41;44;42;2068;4914;6215
1916;4202;5247;415;651;656;34;43;44;1380;4927;6402
1721;4382;3471;522;665;428;40;41;45;2115;4036;6535
2007;4449;5273;527;513;649;41;43;41;2041;4786;6067
1972;4192;5165;505;636;637;41;43;44;1465;5084;5955
1316;4101;3585;524;658;503;43;43;44;2226;4916;6546
1881;4467;5210;546;637;641;40;43;40;2183;4868;6472
1964;4500;5145;502;671;638;40;41;41;1591;5012;4373
1303;2966;4190;471;671;611;40;43;45;2068;4764;6561
1931;4568;5084;537;626;656;41;44;43;2212;4633;6481
2000;4514;5199;530;614;623;43;41;42;1964;4972;4415
1391;2994;5021;347;679;596;29;44;44;2066;5203;6521
1872;4435;5224;535;674;621;40;44;44;2012;3268;6462
1993;4582;5265;529;448;630;43;40;42;2004;4917;4128
1643;3078;4947;353;647;645;28;40;44;1859;4973;6533
1832;4426;4832;532;679;432;41;44;43;2105;3506;6246
1983;4618;5298;538;428;627;43;43;43;2078;5022;4829
2003;3541;5224;353;639;645;29;42;44;1335;4983;6362
1813;4298;3547;528;639;439;42;43;42;2242;3429;6278
2094;4510;5327;530;444;639;42;42;44;2287;5035;6265
2033;4154;5210;417;642;664;33;42;43;1543;5014;6500
1661;4462;3493;512;638;439;40;44;42;2255;3920;6476
1951;4470;5167;531;498;629;40;42;44;2316;4815;5979
2243;4254;5253;516;636;639;41;42;44;1557;5106;6034
1245;4200;3532;518;655;501;43;44;40;2317;4703;6583
1870;4471;5165;545;606;635;39;41;42;2106;5028;6538
2042;4530;5316;499;639;634;42;44;43;1819;4990;4438
1491;3068;4142;473;644;608;42;43;44;2263;4552;6617
1976;4548;5041;531;580;642;41;41;42;2243;4596;6514
1794;4442;5314;533;585;633;39;44;43;2147;4968;4413
1344;3024;5083;355;634;590;40;44;43;2282;4936;6607
2076;4462;5276;526;624;574;41;41;43;2298;3444;6578
2112;4428;5296;532;440;638;43;40;43;2057;4932;4435
1517;3011;4891;343;639;642;41;44;43;2046;5227;6622
1754;4507;4859;524;637;431;41;43;43;2335;3355;6579
1937;4387;5323;519;417;609;42;41;43;2178;5108;5227
2124;3560;5197;361;633;644;41;44;43;1541;5172;6416
1972;4360;3507;532;637;426;42;43;43;2281;3470;6043
1875;4441;5210;525;432;634;42;41;44;2334;5101;6282
1760;4143;5295;423;645;645;42;44;42;1538;5169;6309
1880;4305;3554;513;638;436;41;42;44;2331;4009;6579
2166;4302;5311;543;496;643;40;43;44;2348;4992;6184
2059;4166;5308;516;630;658;43;43;40;1546;5158;6025
1336;4051;3453;512;643;503;41;42;40;2219;4693;6608
1816;4382;5260;522;614;634;40;43;44;2336;5051;6616
2022;4571;5300;504;634;647;42;44;44;1808;5160;4392
1310;3061;4055;466;638;620;43;40;41;2280;4858;6476
1909;4433;5172;545;609;630;39;44;44;2348;4700;6566
2018;4425;5357;536;599;641;39;43;43;2129;4942;4468
1235;3072;4903;337;633;587;40;40;42;2328;5072;6378
2132;4438;5274;553;630;580;43;41;44;2339;3451;6567
1788;4480;5320;524;422;646;40;43;42;2155;5113;4396
1659;2994;4924;349;644;628;43;43;42;2077;4990;6548
1870;4552;4936;529;652;430;41;41;44;2343;3455;6253
2042;4400;5306;543;433;630;41;43;42;2138;5121;5026
1730;3471;5330;370;643;641;42;43;43;1425;4996;6360
2094;4384;3734;519;627;433;40;42;44;2328;3517;6308
1944;4428;5308;529;423;638;40;42;41;2317;4925;6331
1811;4295;5241;408;646;641;41;41;44;1572;4672;6498
1980;4437;3601;523;622;425;40;41;44;2137;3809;6284
1850;4386;5312;540;509;643;42;41;40;2307;4744;6146
1910;4221;5220;501;612;644;41;41;41;1457;4786;5971
