mldsa87 - p521_mlkem1024;mldsa87 - mlkem1024;falcon1024 - p521_mlkem1024;falcon1024 - mlkem1024;sphincssha2256fsimple - p521_mlkem1024;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - p521_mlkem1024;sphincssha2256ssimple - mlkem1024;mayo5 - p521_mlkem1024;mayo5 - mlkem1024;CROSSrsdpg256balanced - p521_mlkem1024;CROSSrsdpg256balanced - mlkem1024
501;7643;441;4717;120;246;27;29;496;4414;410;1137
420;8131;455;5179;183;231;28;30;418;4569;421;2014
500;6920;483;3249;193;267;21;21;502;3961;363;2028
497;7335;500;5099;174;262;27;29;492;4275;422;1372
482;8052;321;5021;184;250;29;29;469;4717;432;2110
482;8029;501;3466;188;245;28;29;468;4709;472;2101
505;5280;500;4853;175;263;27;28;505;3017;429;1364
484;7899;333;4944;182;267;28;29;511;4679;441;2008
438;8028;508;4688;189;181;28;28;335;4584;445;2097
516;5325;504;5008;173;264;27;30;498;3071;433;1836
511;8023;334;4979;173;264;29;30;513;4535;458;2079
333;8025;498;4662;187;180;27;27;340;4610;447;2114
483;5494;487;4589;185;265;28;28;515;3197;435;1881
498;8271;382;4871;127;258;28;30;512;4685;463;1901
316;8142;490;4888;188;178;27;30;339;4678;434;2125
500;6392;517;3250;186;267;29;27;497;3571;468;2022
488;7953;468;4952;126;263;28;30;519;4622;455;1421
342;8090;472;4927;184;209;27;29;417;4662;431;2079
492;7753;482;3252;184;265;29;28;481;4364;417;2081
496;8245;498;4997;127;259;28;30;506;4617;455;1411
396;8140;354;4909;182;249;26;29;506;4734;460;2115
484;7627;499;3331;185;266;27;30;494;4399;301;2054
504;7483;502;4911;147;265;29;30;510;4308;439;1336
449;8159;341;4818;192;244;28;27;474;4751;445;2057
502;8191;489;3899;181;246;27;29;493;4640;318;2075
483;5454;499;4845;180;260;29;30;490;3078;475;1617
475;8369;326;4912;190;268;28;27;481;4679;438;2039
451;8090;500;4571;186;179;27;28;448;4722;289;2051
490;5436;488;4874;168;262;29;30;516;3103;433;1978
496;8295;388;4892;173;269;27;29;498;4639;422;2008
343;7657;506;4639;178;182;28;28;338;4680;337;2057
498;5602;501;4643;191;260;29;29;500;3062;426;1976
505;8163;472;4879;121;264;27;30;505;4796;435;1890
336;8032;515;5143;180;172;28;28;352;4775;410;2064
479;6086;485;3316;192;266;28;30;505;3605;453;2022
490;8013;464;4790;128;269;27;29;499;4594;452;1325
328;8103;436;4889;183;209;29;29;353;4629;429;1989
501;7791;491;3151;188;262;28;30;502;4332;415;2048
469;8062;494;4907;131;271;26;28;524;4761;453;1375
392;8297;335;4819;188;255;25;28;402;4713;457;1980
471;7524;509;3341;188;266;29;29;482;4273;314;2061
513;7664;508;4925;136;265;28;27;513;4275;451;1406
461;7962;334;4946;187;252;27;29;473;4594;439;2067
498;8113;493;4011;191;242;29;30;496;4619;314;2004
500;5393;498;4749;180;266;28;28;505;2991;428;1660
445;8031;314;4917;185;268;27;30;469;4754;455;2020
470;7866;499;4733;187;164;29;29;467;4656;309;1969
496;5323;493;4934;173;269;26;28;496;3217;470;1993
495;8153;402;4954;169;268;28;30;484;4595;465;2048
335;7956;491;4807;187;178;29;30;344;4651;349;1928
518;5267;508;4485;184;268;27;27;504;3013;460;1848
487;7912;481;4914;124;268;28;28;514;4563;451;1654
343;8091;498;5059;191;162;29;30;327;4593;442;1893
508;6258;484;3374;189;268;26;29;509;3717;465;1978
483;7697;484;4987;127;266;27;28;491;4600;443;1332
346;7953;453;4957;181;207;29;30;338;4616;438;1839
506;7770;501;3299;186;262;27;30;492;4454;420;1992
491;7996;529;4930;126;263;28;29;514;4634;463;1365
399;8073;345;5076;186;250;28;29;397;4643;474;1870
487;7706;538;3367;187;258;28;28;503;4356;303;1917
484;7350;534;4838;145;268;27;31;491;4325;451;1352
485;8031;375;4960;182;244;29;29;487;4501;466;1851
491;8044;521;4090;193;247;27;28;510;4678;316;1961
502;5407;540;4801;176;267;28;28;509;3168;450;1520
460;8140;379;5005;189;264;28;29;468;4629;470;1868
466;8002;544;4804;184;180;27;30;461;4566;315;1867
486;5428;530;4830;178;264;28;21;499;3179;448;1874
511;8084;430;5006;174;263;29;29;491;4683;463;1821
333;7722;522;4734;191;177;27;30;353;4620;378;1931
490;5513;533;4457;182;269;28;21;498;3171;459;1828
481;8164;510;4927;126;264;29;29;504;4771;447;1665
341;8135;505;5084;190;177;26;30;349;4565;447;1988
498;6458;545;3256;183;270;27;20;507;3665;465;1952
479;7985;521;4998;122;267;28;29;499;4493;455;1283
323;8050;464;4988;186;201;28;30;356;4603;448;2068
479;8061;555;3371;195;265;19;22;493;4431;416;2042
486;8026;528;4931;122;267;28;29;502;4803;457;1405
390;8031;356;4917;192;250;28;30;386;4671;477;2062
482;7436;520;3269;181;264;19;28;492;4310;312;2102
483;7243;550;4866;145;269;28;30;507;4363;462;1385
476;8133;310;5023;187;246;28;29;489;4593;466;2009
502;8103;489;3852;186;244;20;27;500;4722;319;2022
491;5487;496;4811;176;264;29;27;488;3210;463;1562
463;8054;332;4902;184;260;27;30;465;4603;464;1967
460;8243;492;4790;187;179;23;31;477;4674;317;2078
495;5571;510;4839;169;268;28;28;503;3213;465;2012
509;8262;407;4951;179;259;29;30;503;4644;462;2018
337;8098;459;4631;186;179;26;28;338;4631;373;2099
489;5525;499;4495;181;268;28;28;485;3167;442;1991
511;7915;466;4956;123;261;29;30;518;4674;464;1801
331;8284;489;4967;187;178;27;29;345;4726;457;2124
486;6506;520;3430;189;265;29;28;506;3696;450;2053
483;7424;475;5118;125;257;28;30;504;4473;468;1326
353;8016;469;5076;190;211;26;29;347;4660;431;2036
484;7750;503;3419;182;262;27;29;489;4486;413;2096
512;7842;495;5096;125;263;27;30;516;4591;463;1370
391;8015;322;5082;188;254;28;28;396;4691;458;2053
475;7695;505;3315;184;264;28;30;499;4359;312;2082
507;7176;526;4985;148;265;27;30;488;4285;467;1307
493;8224;359;4994;184;245;27;26;480;4726;459;2054
