SIG_ALG;KEM_ALG;Read Bytes;Written Bytes
RSA-3072;X25519;2064;539
RSA-3072;P-256;2097;572
RSA-3072;mlkem512;2800;1299
ed25519;X25519;668;509
ed25519;P-256;701;542
ed25519;mlkem512;1404;1269
falcon512;X25519;2727;509
falcon512;P-256;2767;542
falcon512;mlkem512;3465;1269
sphincssha2128fsimple;X25519;34771;509
sphincssha2128fsimple;P-256;34804;542
sphincssha2128fsimple;mlkem512;35507;1269
sphincssha2128ssimple;X25519;16263;509
sphincssha2128ssimple;P-256;16296;542
sphincssha2128ssimple;mlkem512;16999;1269