falcon512;X25519;;falcon512;P-256;;falcon512;kyber512;;falconpadded512;X25519;;falconpadded512;P-256;;falconpadded512;kyber512;;falcon1024;P-521;;falcon1024;kyber1024;;falconpadded1024;P-521;;falconpadded1024;kyber1024;
Group 1 Connections;Time (s);Connections/User Sec;Group 2 Connections;Time (s);Connections/User Sec;Group 3 Connections;Time (s);Connections/User Sec;Group 4 Connections;Time (s);Connections/User Sec;Group 5 Connections;Time (s);Connections/User Sec;Group 6 Connections;Time (s);Connections/User Sec;Group 7 Connections;Time (s);Connections/User Sec;Group 8 Connections;Time (s);Connections/User Sec;Group 9 Connections;Time (s);Connections/User Sec;Group 10 Connections;Time (s);Connections/User Sec
4970;3,85;1290,91;4058;3,9;1040,51;5056;4,57;1106,35;4750;3,76;1263,3;4121;3,88;1062,11;5043;4,57;1103,5;557;4,82;115,56;3456;3,75;921,6;557;4,79;116,28;3165;4,08;775,74
5236;4,14;1264,73;4442;4,21;1055,11;5442;4,98;1092,77;5177;3,99;1297,49;4386;4,26;1029,58;4917;4,76;1032,98;608;5,21;116,7;4063;4,03;1008,19;606;5,21;116,31;3109;4,23;734,99
4056;4,27;949,88;4429;4,28;1034,81;5441;4,91;1108,15;5249;4,13;1270,94;2752;4,48;614,29;5354;4,88;1097,13;601;5,26;114,26;4061;4,05;1002,72;610;5,25;116,19;3209;4,17;769,54
4485;4,18;1072,97;4440;4,2;1057,14;5434;4,93;1102,23;5233;4,1;1276,34;3473;4,32;803,94;4965;4,89;1015,34;606;5,24;115,65;4053;4,01;1010,72;556;5,25;105,9;3227;4,29;752,21
5269;4,07;1294,59;4443;4,29;1035,66;5436;4,86;1118,52;5230;4,01;1304,24;4321;4,2;1028,81;3660;4,64;788,79;609;5,23;116,44;4036;4,05;996,54;552;5,18;106,56;3270;4,21;776,72
3573;4,15;860,96;4442;4,22;1052,61;5408;4,83;1119,67;5252;4,03;1303,23;4401;4,27;1030,68;5420;4,94;1097,17;600;5,26;114,07;4031;4,07;990,42;586;5,23;112,05;3167;4,32;733,1
5172;4,04;1280,2;4444;4,2;1058,1;5434;4,86;1118,11;5230;4,16;1257,21;4055;4,24;956,37;3323;4,59;723,97;609;5,24;116,22;4036;4,07;991,65;512;5,21;98,27;3142;4,12;762,62
5249;4,21;1246,79;4452;4,18;1065,07;5438;4,92;1105,28;5236;4,05;1292,84;3042;4,48;679,02;4969;4,78;1039,54;608;5,24;116,03;4033;3,98;1013,32;540;5,2;103,85;3540;4,18;846,89
5217;4,03;1294,54;4397;4,25;1034,59;5005;4,9;1021,43;5227;4,03;1297,02;4247;4,23;1004,02;5339;4,86;1098,56;596;5,28;112,88;4030;4,05;995,06;597;5,3;112,64;3799;4,21;902,38
5183;4,16;1245,91;4440;4,15;1069,88;4782;4,73;1010,99;5167;4,07;1269,53;4433;4,24;1045,52;5358;4,97;1078,07;601;5,21;115,36;4053;4,1;988,54;590;5,24;112,6;3482;4,27;815,46
5212;4,07;1280,59;4445;4,26;1043,43;5433;4,87;1115,61;5203;4,14;1256,76;4444;4,19;1060,62;5403;4,85;1114,02;425;5,32;79,89;4047;4,13;979,9;568;5,24;108,4;3650;4,13;883,78
5262;4,08;1289,71;4433;4,24;1045,52;5316;4,85;1096,08;5217;4,11;1269,34;3591;4,34;827,42;5373;4,91;1094,3;607;5,25;115,62;3977;4,11;967,64;591;5,25;112,57;3631;4,21;862,47
5241;4,08;1284,56;4362;4,37;998,17;5438;4,99;1089,78;5195;4,15;1251,81;4147;4,26;973,47;5439;5,02;1083,47;412;5,19;79,38;3910;4,07;960,69;481;5,34;90,07;3829;4,18;916,03
5245;4,14;1266,91;4426;4,23;1046,34;5430;4,87;1114,99;5245;4,05;1295,06;3854;4,34;888,02;4392;4,75;924,63;606;5,24;115,65;4027;4,06;991,87;532;5,15;103,3;3908;4,17;937,17
5217;4,07;1281,82;4416;4,24;1041,51;5435;4,98;1091,37;5238;4,09;1280,68;2887;4,39;657,63;3892;4,68;831,62;607;5,24;115,84;4056;4,07;996,56;540;5,28;102,27;3812;4,13;923
5224;4,05;1289,88;4044;4,39;921,18;5444;4,92;1106,5;5238;4,03;1299,75;4433;4,3;1030,93;4788;4,84;989,26;606;5,2;116,54;4020;4,01;1002,49;565;5,25;107,62;3790;4,24;893,87
5265;4,19;1256,56;3547;4,34;817,28;5375;4,96;1083,67;5222;4,14;1261,35;4438;4,19;1059,19;4512;4,68;964,1;606;5,27;114,99;4039;4,08;989,95;580;5,18;111,97;3277;4,15;789,64
5249;4,07;1289,68;4442;4,25;1045,18;5408;4,83;1119,67;4854;4,15;1169,64;4451;4,2;1059,76;5440;4,91;1107,94;604;5,22;115,71;3984;4;996;575;5,2;110,58;2824;3,97;711,34
5238;4,06;1290,15;4424;4,22;1048,34;5381;4,88;1102,66;5020;3,95;1270,89;4377;4,24;1032,31;5344;4,92;1086,18;609;5,25;116;4009;4,12;973,06;557;5,19;107,32;3760;4,17;901,68
5100;4,13;1234,87;4157;4,29;969;4784;4,85;986,39;5227;4,1;1274,88;4304;4,23;1017,49;5370;4,89;1098,16;608;5,23;116,25;4058;4,05;1001,98;562;5,25;107,05;3872;4,14;935,27
4427;4,18;1059,09;2122;4,56;465,35;3724;4,72;788,98;5213;4,08;1277,7;4425;4,26;1038,73;5182;4,93;1051,12;610;5,22;116,86;4066;4,11;989,29;512;5,36;95,52;3256;4,17;780,82
3800;4,34;875,58;4135;4,26;970,66;4734;4,79;988,31;5222;4,06;1286,21;4379;4,25;1030,35;2555;4,58;557,86;427;5,19;82,27;4049;4,12;982,77;500;5,19;96,34;3781;4,13;915,5
5252;3,97;1322,92;4440;4,27;1039,81;5248;4,81;1091,06;5225;4,07;1283,78;4430;4,23;1047,28;5186;4,86;1067,08;603;5,21;115,74;4022;4,05;993,09;509;5,3;96,04;3762;4,16;904,33
5223;4,16;1255,53;4439;4,24;1046,93;5105;4,62;1104,98;5178;4,05;1278,52;4432;4,16;1065,38;5361;4,9;1094,08;605;5,24;115,46;3221;4,11;783,7;539;5,29;101,89;3900;4,1;951,22
5218;4,02;1298,01;4410;4,22;1045,02;5409;4,88;1108,4;5227;4,06;1287,44;4420;4,27;1035,13;3646;4,6;792,61;610;5,23;116,63;2988;4,22;708,06;464;5,2;89,23;3867;4,14;934,06
5205;4,16;1251,2;4429;4,23;1047,04;4151;4,68;886,97;5189;4,04;1284,41;4358;4,25;1025,41;5439;4,97;1094,37;604;5,29;114,18;4062;4,1;990,73;466;5,24;88,93;3866;4,17;927,1
5234;4,06;1289,16;4449;4,33;1027,48;3763;4,61;816,27;5226;4,06;1287,19;4309;4,29;1004,43;5348;4,88;1095,9;604;5,24;115,27;4042;4,13;978,69;521;5,29;98,49;3806;4,16;914,9
5269;4,06;1297,78;4437;4,23;1048,94;3771;4,71;800,64;3791;4,34;873,5;4342;4,25;1021,65;5427;4,99;1087,58;604;5,26;114,83;4055;4,12;984,22;570;5,3;107,55;3606;4,18;862,68
5247;4,06;1292,36;4426;4,26;1038,97;4250;4,72;900,42;5163;4,08;1265,44;4427;4,27;1036,77;3791;4,75;798,11;604;5,27;114,61;4056;4;1014;535;5,19;103,08;3884;4,09;949,63
5249;4,08;1286,52;4428;4,28;1034,58;5408;4,91;1101,43;5213;4,12;1265,29;4391;4,19;1047,97;5409;4,86;1112,96;604;5,21;115,93;4052;4,02;1007,96;468;5,26;88,97;3599;4,15;867,23
5225;4,11;1271,29;4434;4,32;1026,39;5434;4,95;1097,78;4015;4,31;931,55;4412;4,24;1040,57;5394;4,93;1094,12;608;5,21;116,7;4032;4,08;988,24;489;5,46;89,56;3869;4,15;932,29
5228;4,03;1297,27;4435;4,19;1058,47;4697;4,82;974,48;3979;4,25;936,24;4390;4,28;1025,7;5379;4,91;1095,52;426;5,21;81,77;4035;4,08;988,97;462;5,16;89,53;3817;4,2;908,81
5226;4,09;1277,75;4450;4,28;1039,72;4257;4,81;885,03;4979;4,1;1214,39;4382;4,24;1033,49;5369;4,79;1120,88;605;5,27;114,8;4039;4,09;987,53;437;5,23;83,56;3833;4,2;912,62
5227;4,1;1274,88;4416;4,22;1046,45;5430;4,9;1108,16;5201;4,05;1284,2;4369;4,14;1055,31;5435;4,9;1109,18;397;5,54;71,66;4056;4,02;1008,96;387;5,26;73,57;3916;4,21;930,17
5170;4,16;1242,79;4359;4,26;1023,24;5414;4,99;1084,97;5243;4,05;1294,57;4412;4,36;1011,93;5395;4,87;1107,8;512;5,18;98,84;4011;4,09;980,68;413;5,18;79,73;3896;4,19;929,83
5056;4,07;1242,26;4406;4,23;1041,61;5434;4,86;1118,11;5212;4,13;1261,99;4361;4,31;1011,83;5424;4,96;1093,55;568;5,16;110,08;4050;4,11;985,4;473;5,12;92,38;3903;4,18;933,73
5209;4,11;1267,4;4370;4,28;1021,03;5436;4,97;1093,76;5221;4,14;1261,11;3285;4,4;746,59;5419;4,85;1117,32;460;5,33;86,3;4076;4,08;999,02;523;5,18;100,97;3900;4,12;946,6
5240;4,09;1281,17;4406;4,31;1022,27;5429;4,91;1105,7;5219;4,04;1291,83;4435;4,34;1021,89;5433;4,92;1104,27;608;5,26;115,59;4042;3,98;1015,58;502;5,2;96,54;3911;4,14;944,69
5262;4,14;1271,01;4438;4,25;1044,24;5436;4,91;1107,13;5239;3,95;1326,33;3612;4,28;843,93;2664;4,66;571,67;610;5,24;116,41;4027;4,12;977,43;533;5,19;102,7;3901;4,14;942,27
5237;4,07;1286,73;4357;4,32;1008,56;5395;4,96;1087,7;5251;4,04;1299,75;3307;4,47;739,82;3964;4,77;831,03;605;5,24;115,46;4036;4,06;994,09;553;5,18;106,76;3905;4,14;943,24
5005;4,16;1203,12;4385;4,29;1022,14;5405;4,82;1121,37;5213;4,04;1290,35;3151;4,49;701,78;5288;4,84;1092,56;607;5,24;115,84;3656;4,06;900,49;155;5,19;29,87;3903;4,14;942,75
3921;4,3;911,86;4408;4,26;1034,74;5448;4,95;1100,61;5252;4,05;1296,79;4369;4,31;1013,69;4128;4,79;861,8;607;5,23;116,06;3753;4,09;917,6;365;5,14;71,01;3912;4,17;938,13
3282;4,41;744,22;4401;4,24;1037,97;5429;4,95;1096,77;5224;4,04;1293,07;4426;4,24;1043,87;5210;4,85;1074,23;607;5,22;116,28;3162;4,2;752,86;487;5,14;94,75;3831;4,13;927,6
5265;4,12;1277,91;4406;4,25;1036,71;5396;4,92;1096,75;5195;4,01;1295,51;4417;4,33;1020,09;3891;4,75;819,16;605;5,23;115,68;3940;4,1;960,98;455;5,1;89,22;3894;4,17;933,81
5260;4,18;1258,37;4397;4,24;1037,03;5379;4,79;1122,96;5240;4,08;1284,31;3635;4,32;841,44;5164;4,75;1087,16;609;5,23;116,44;4054;4,04;1003,47;481;5,28;91,1;3922;4,18;938,28
5266;4,09;1287,53;4331;4,28;1011,92;5412;4,89;1106,75;5212;4,02;1296,52;3088;4,56;677,19;3001;4,59;653,81;610;5,24;116,41;4029;4,03;999,75;400;5,06;79,05;3852;4,16;925,96
5245;4,17;1257,79;4423;4,22;1048,1;5431;4,92;1103,86;5166;4,03;1281,89;4425;4,37;1012,59;4120;4,77;863,73;606;5,23;115,87;4023;4,06;990,89;524;5,27;99,43;3813;4,09;932,27
5243;4,07;1288,21;4443;4,2;1057,86;5409;4,92;1099,39;4974;3,98;1249,75;4432;4,26;1040,38;5319;4,95;1074,55;610;5,22;116,86;4065;3,99;1018,8;518;5,18;100;3838;4,14;927,05
5223;4,16;1255,53;4433;4,31;1028,54;5424;4,92;1102,44;5098;4,16;1225,48;4420;4,32;1023,15;5407;4,92;1098,98;608;5,24;116,03;4053;4,03;1005,71;517;5,24;98,66;3849;4,15;927,47
4296;4,34;989,86;4443;4,22;1052,84;5423;4,9;1106,73;5225;4,13;1265,13;4375;4,28;1022,2;5387;4,94;1090,49;606;5,23;115,87;3963;4,02;985,82;496;5,14;96,5;3804;4,11;925,55
;;1219,6262;;;1018,8808;;;1062,3626;;;1254,6508;;;962,8344;;;1001,6442;;;110,9954;;;973,4736;;;97,8546;;;885,4898
;;134,4537118;;;89,30468696;;;88,92693352;;;90,80211476;;;128,337661;;;152,0401312;;;11,87687329;;;62,42626703;;;14,65316894;;;70,34610026