Group 1 Connections;Time (s);Connections/User Sec;Group 2 Connections;Time (s);Connections/User Sec
815;5,67;143,74;1896;5,73;330,89
887;5,84;151,88;2104;6,32;332,91
909;5,85;155,38;2124;6,32;336,08
829;5,83;142,2;1970;6,27;314,19
678;5,93;114,33;2008;6,32;317,72
727;5,77;126;2103;6,31;333,28
552;5,66;97,53;2076;6,32;328,48
647;5,8;111,55;2067;6,27;329,67
411;5,88;69,9;1745;6,33;275,67
489;5,81;84,17;1720;6,26;274,76
759;5,81;130,64;1957;6,36;307,7
888;5,84;152,05;2042;6,24;327,24
801;5,88;136,22;2108;6,38;330,41
704;5,73;122,86;2093;6,33;330,65
858;5,76;148,96;2057;6,38;322,41
905;5,84;154,97;2118;6,33;334,6
824;5,88;140,14;1966;6,35;309,61
908;5,85;155,21;2104;6,31;333,44
917;5,87;156,22;2112;6,38;331,03
732;5,91;123,86;2086;6,33;329,54
601;5,86;102,56;2082;6,34;328,39
505;5,65;89,38;2010;6,32;318,04
546;5,65;96,64;2113;6,44;328,11
694;5,89;117,83;2086;6,28;332,17
275;5,41;50,83;2083;6,33;329,07
368;5,51;66,79;2121;6,32;335,6
472;5,68;83,1;2100;6,31;332,81
691;5,83;118,52;2005;6,39;313,77
513;5,73;89,53;1729;6,13;282,06
539;5,74;93,9;1801;6,25;288,16
809;5,9;137,12;1970;6,23;316,21
766;5,7;134,39;2066;6,33;326,38
828;5,69;145,52;2054;6,36;322,96
729;5,76;126,56;1990;6,24;318,91
668;5,64;118,44;2068;6,36;325,16
685;5,74;119,34;2088;6,3;331,43
784;5,76;136,11;2073;6,34;326,97
758;5,69;133,22;2096;6,39;328,01
716;5,77;124,09;2078;6,35;327,24
738;5,77;127,9;1958;6,3;310,79
733;5,8;126,38;1820;6,21;293,08
841;5,87;143,27;1917;6,29;304,77
902;5,82;154,98;1936;6,25;309,76
848;5,7;148,77;1827;6,2;294,68
798;5,6;142,5;1832;6,27;292,19
800;5,69;140,6;1805;6,23;289,73
853;5,81;146,82;1978;6,22;318,01
916;5,83;157,12;1997;6,22;321,06
898;5,8;154,83;2099;6,33;331,6
913;5,85;156,07;2096;6,42;326,48
913;5,85;156,07;2096;6,42;326,48